Date : 2025-02-25 21:29:23
Directory : f:\myjs\three-tile
Total : 126 files,  18358 codes, 2050 comments, 1467 blanks, all 21875 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| f:\myjs\three-tile\src\loader\ITileLoaders.ts                            | TypeScript              |         31 |          8 |          5 |         44 |
| f:\myjs\three-tile\src\loader\ImageLoaerEx.ts                            | TypeScript              |         51 |         24 |         11 |         86 |
| f:\myjs\three-tile\src\loader\LoaderFactory.ts                           | TypeScript              |         44 |         29 |         10 |         83 |
| f:\myjs\three-tile\src\loader\TileGeometryLoader.ts                      | TypeScript              |         58 |         33 |          6 |         97 |
| f:\myjs\three-tile\src\loader\TileLoader.ts                              | TypeScript              |        141 |         50 |         20 |        211 |
| f:\myjs\three-tile\src\loader\TileTextureLoader.ts                       | TypeScript              |         49 |         28 |          5 |         82 |
| f:\myjs\three-tile\src\loader\index.ts                                   | TypeScript              |          8 |         10 |          6 |         24 |
| f:\myjs\three-tile\src\loader\util.ts                                    | TypeScript              |         48 |         26 |          9 |         83 |
| f:\myjs\three-tile\src\map\SourceWithProjection.ts                       | TypeScript              |         26 |         31 |          8 |         65 |
| f:\myjs\three-tile\src\map\TileMap.ts                                    | TypeScript              |        239 |        281 |         64 |        584 |
| f:\myjs\three-tile\src\map\index.ts                                      | TypeScript              |          2 |          5 |          2 |          9 |
| f:\myjs\three-tile\src\map\projection\BaseProjection.ts                  | TypeScript              |         44 |         42 |          8 |         94 |
| f:\myjs\three-tile\src\map\projection\IProjection.ts                     | TypeScript              |         13 |          9 |          4 |         26 |
| f:\myjs\three-tile\src\map\projection\ProjMCT.ts                         | TypeScript              |         23 |         25 |          9 |         57 |
| f:\myjs\three-tile\src\map\projection\ProjWGS.ts                         | TypeScript              |         14 |          8 |          5 |         27 |
| f:\myjs\three-tile\src\map\projection\ProjectFactory.ts                  | TypeScript              |         19 |         11 |          3 |         33 |
| f:\myjs\three-tile\src\map\projection\index.ts                           | TypeScript              |          5 |          5 |          2 |         12 |
| f:\myjs\three-tile\src\map\projection\projection.test.ts                 | TypeScript              |         52 |         13 |         15 |         80 |
| f:\myjs\three-tile\src\map\util.ts                                       | TypeScript              |         89 |         33 |         15 |        137 |
| f:\myjs\three-tile\src\material\TileMaterial.ts                          | TypeScript              |         19 |          8 |          5 |         32 |
| f:\myjs\three-tile\src\material\index.ts                                 | TypeScript              |          1 |          6 |          3 |         10 |
| f:\myjs\three-tile\src\material\shader\TileShaderMaterial.ts             | TypeScript              |         49 |         22 |          9 |         80 |
| f:\myjs\three-tile\src\plugin\GLViewer.ts                                | TypeScript              |        158 |         19 |         27 |        204 |
| f:\myjs\three-tile\src\plugin\Readme.md                                  | Markdown                |        299 |          0 |        116 |        415 |
| f:\myjs\three-tile\src\plugin\debugLoader\DebugeLoader.ts                | TypeScript              |         41 |         13 |          5 |         59 |
| f:\myjs\three-tile\src\plugin\debugLoader\index.ts                       | TypeScript              |          3 |          6 |          3 |         12 |
| f:\myjs\three-tile\src\plugin\fakeEarth\EarthMaskMaterial.ts             | TypeScript              |         53 |         14 |         10 |         77 |
| f:\myjs\three-tile\src\plugin\fakeEarth\FakeEarth.ts                     | TypeScript              |         14 |          8 |          5 |         27 |
| f:\myjs\three-tile\src\plugin\fakeEarth\index.ts                         | TypeScript              |          2 |          5 |          2 |          9 |
| f:\myjs\three-tile\src\plugin\index.ts                                   | TypeScript              |         13 |         24 |          3 |         40 |
| f:\myjs\three-tile\src\plugin\lercLoader\TileGeometryLercLoader.ts       | TypeScript              |         63 |         12 |          8 |         83 |
| f:\myjs\three-tile\src\plugin\lercLoader\index.ts                        | TypeScript              |          3 |          5 |          3 |         11 |
| f:\myjs\three-tile\src\plugin\lercLoader\lercDecode\LercDecode.d.ts      | TypeScript              |         55 |          0 |          7 |         62 |
| f:\myjs\three-tile\src\plugin\lercLoader\lercDecode\LercDecode.es.d.ts   | TypeScript              |         55 |          0 |          7 |         62 |
| f:\myjs\three-tile\src\plugin\lercLoader\lercDecode\LercDecode.es.js     | JavaScript              |        980 |         78 |          7 |      1,065 |
| f:\myjs\three-tile\src\plugin\lercLoader\lercDecode\LercDecode.es.min.js | JavaScript              |          1 |         16 |          0 |         17 |
| f:\myjs\three-tile\src\plugin\lercLoader\lercDecode\LercDecode.js        | JavaScript              |        360 |         78 |         11 |        449 |
| f:\myjs\three-tile\src\plugin\lercLoader\lercDecode\LercDecode.min.js    | JavaScript              |          1 |         16 |          0 |         17 |
| f:\myjs\three-tile\src\plugin\lercLoader\lercDecode\lerc-wasm.wasm       | WebAssembly Text Format |      4,051 |          0 |         36 |      4,087 |
| f:\myjs\three-tile\src\plugin\lercLoader\parse.ts                        | TypeScript              |         96 |         19 |         12 |        127 |
| f:\myjs\three-tile\src\plugin\lercLoader\parse.worker.ts                 | TypeScript              |         12 |          5 |          4 |         21 |
| f:\myjs\three-tile\src\plugin\logoLoader\TileMateriaLogoLoader.ts        | TypeScript              |         44 |         22 |          9 |         75 |
| f:\myjs\three-tile\src\plugin\logoLoader\index.ts                        | TypeScript              |          3 |          6 |          2 |         11 |
| f:\myjs\three-tile\src\plugin\mapSource\ArcGisSource.ts                  | TypeScript              |         24 |          6 |          3 |         33 |
| f:\myjs\three-tile\src\plugin\mapSource\BaiduSource.ts                   | TypeScript              |         13 |          9 |          3 |         25 |
| f:\myjs\three-tile\src\plugin\mapSource\BingSource.ts                    | TypeScript              |         32 |         14 |          6 |         52 |
| f:\myjs\three-tile\src\plugin\mapSource\GDSource.ts                      | TypeScript              |         15 |          4 |          3 |         22 |
| f:\myjs\three-tile\src\plugin\mapSource\GeoqSource.ts                    | TypeScript              |         13 |          3 |          3 |         19 |
| f:\myjs\three-tile\src\plugin\mapSource\GoogleSource.ts                  | TypeScript              |         15 |         17 |          7 |         39 |
| f:\myjs\three-tile\src\plugin\mapSource\MapBoxSource.ts                  | TypeScript              |         17 |          3 |          4 |         24 |
| f:\myjs\three-tile\src\plugin\mapSource\MapTilerSource.ts                | TypeScript              |         17 |          3 |          4 |         24 |
| f:\myjs\three-tile\src\plugin\mapSource\StadiaSource.ts                  | TypeScript              |         10 |          3 |          2 |         15 |
| f:\myjs\three-tile\src\plugin\mapSource\TDTSource.ts                     | TypeScript              |         29 |          4 |          8 |         41 |
| f:\myjs\three-tile\src\plugin\mapSource\TXSource.ts                      | TypeScript              |         21 |          4 |          5 |         30 |
| f:\myjs\three-tile\src\plugin\mapSource\ZKXTSource.ts                    | TypeScript              |         30 |          8 |          8 |         46 |
| f:\myjs\three-tile\src\plugin\mapSource\index.ts                         | TypeScript              |         11 |          7 |          3 |         21 |
| f:\myjs\three-tile\src\plugin\martiniLoader\TileGeometryMartiniLoader.ts | TypeScript              |         83 |         32 |         10 |        125 |
| f:\myjs\three-tile\src\plugin\martiniLoader\index.ts                     | TypeScript              |          3 |          5 |          3 |         11 |
| f:\myjs\three-tile\src\plugin\martiniLoader\parse.ts                     | TypeScript              |         61 |         29 |         13 |        103 |
| f:\myjs\three-tile\src\plugin\martiniLoader\parse.worker.ts              | TypeScript              |          7 |          7 |          3 |         17 |
| f:\myjs\three-tile\src\plugin\normalLoder\TileMateriaNormalLoader.ts     | TypeScript              |         13 |          9 |          4 |         26 |
| f:\myjs\three-tile\src\plugin\normalLoder\index.ts                       | TypeScript              |          3 |          6 |          2 |         11 |
| f:\myjs\three-tile\src\plugin\qmLoader\TileGeometryQmLoader.ts           | TypeScript              |         47 |         14 |          6 |         67 |
| f:\myjs\three-tile\src\plugin\qmLoader\TileQmGeometry.ts                 | TypeScript              |         66 |          6 |         16 |         88 |
| f:\myjs\three-tile\src\plugin\qmLoader\index.ts                          | TypeScript              |          3 |          5 |          3 |         11 |
| f:\myjs\three-tile\src\plugin\qmLoader\qm-decoder.ts                     | TypeScript              |        272 |          2 |         71 |        345 |
| f:\myjs\three-tile\src\plugin\singleImageLoader\SingleImageLoader.ts     | TypeScript              |         64 |         19 |         20 |        103 |
| f:\myjs\three-tile\src\plugin\singleImageLoader\index.ts                 | TypeScript              |          3 |          6 |          2 |         11 |
| f:\myjs\three-tile\src\plugin\terrainRGBLoader\TerrainRGBLoader.ts       | TypeScript              |         51 |         27 |          6 |         84 |
| f:\myjs\three-tile\src\plugin\terrainRGBLoader\index.ts                  | TypeScript              |          3 |          5 |          3 |         11 |
| f:\myjs\three-tile\src\plugin\terrainRGBLoader\parse.ts                  | TypeScript              |         20 |         13 |          4 |         37 |
| f:\myjs\three-tile\src\plugin\terrainRGBLoader\parse.worker.ts           | TypeScript              |          9 |          5 |          4 |         18 |
| f:\myjs\three-tile\src\plugin\tileImageLoader\TileImageLoader.ts         | TypeScript              |         33 |          8 |          5 |         46 |
| f:\myjs\three-tile\src\plugin\tileImageLoader\index.ts                   | TypeScript              |          3 |          5 |          3 |         11 |
| f:\myjs\three-tile\src\plugin\wireframeLoader\TileMaterialWrieLoader.ts  | TypeScript              |         18 |          8 |          4 |         30 |
| f:\myjs\three-tile\src\plugin\wireframeLoader\index.ts                   | TypeScript              |          3 |          6 |          3 |         12 |
| f:\myjs\three-tile\src\source\ISource.ts                                 | TypeScript              |         14 |         20 |          3 |         37 |
| f:\myjs\three-tile\src\source\TileSource.ts                              | TypeScript              |         58 |         52 |          9 |        119 |
| f:\myjs\three-tile\src\source\index.ts                                   | TypeScript              |          2 |          5 |          3 |         10 |
| f:\myjs\three-tile\src\tile\Tile.ts                                      | TypeScript              |        248 |        148 |         49 |        445 |
| f:\myjs\three-tile\src\tile\index.ts                                     | TypeScript              |          1 |          5 |          2 |          8 |
| f:\myjs\three-tile\src\tile\util.ts                                      | TypeScript              |         84 |         18 |         11 |        113 |
| f:\myjs\three-tile\src\vite-env.d.ts                                     | TypeScript              |          1 |          0 |          1 |          2 |
| f:\myjs\three-tile\tsconfig.json                                         | JSON with Comments      |         21 |          0 |          1 |         22 |
| f:\myjs\three-tile\typedoc.json                                          | JSON with Comments      |          7 |          1 |          0 |          8 |
| f:\myjs\three-tile\vite.config.demo.ts                                   | TypeScript              |          5 |          0 |          2 |          7 |
| f:\myjs\three-tile\vite.config.dev.ts                                    | TypeScript              |         11 |          0 |          3 |         14 |
| f:\myjs\three-tile\vite.config.lib.ts                                    | TypeScript              |         30 |          0 |          2 |         32 |
| f:\myjs\three-tile\vitest.config.ts                                      | TypeScript              |          8 |          0 |          2 |         10 |
| Total                                                                    |                         |     18,358 |      2,050 |      1,467 |     21,875 |
+--------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
